10.1111/j.1475-1313.2007.00510.x,"Opt. 21, 17–29. Greaney, M. J., Hoffman, D. C., Garway-Heath, D. F., Nakala, M., Coleman, A. L. and Caprioli, J. (2002) Comparison of optic",Ophthalmic and Physiological Optics,Technical Note: Grading the vertical cup:disc ratio and the effect of scaling,NAKALA
10.1016/S0006-3207(00)00005-7,to Ras SeiyaÃ da 44W Ras SeiyaÃ da to Buq buq 45W Alam el Kadad to El Nakala 46W El Nakala to El Bourg 47W El Salum  Co-ordinates,Biological Conservation,Preliminary report on the status of marine turtle nesting populations on the Mediterranean coast of Egypt,NAKALA
10.1080/10948000903280851,"40:397 Grimm, Joe, 40:121 Grossman, Michael Baruch, 40:186 Gunawardene, Nakala, 40:267 Günther, J. Sebastian, 40:369 Hallin, Daniel C., 40:76",Communication Booknotes Quarterly,AUTHOR INDEX FOR VOLUME 40: 2009,NAKALA
10.1016/S0140-6736(95)90894-3,"colonoscopy and multiple biopsies. Endoscopy 1985; 17: 86-88. 4 Ruane PJ, Nakala MM, Reinhart JF, George WL. Spirochete-like organisms in the",The Lancet,Spirochaetes in small bowel,NAKALA
10.1111/j.1365-3040.1989.tb01922.x,"higher plant chloroplasts. European Journal of Biochemistry. 155, 331-338. Nakala. T. & Takabe, I. (1971) Plating of i.solated tobaeeo mesophyli","Plant, Cell and Environment",A reduction in the abundance of calium oxalate crystals in Oenothera improves the yield of intact chloroplasts,NAKALA
10.1525/aa.1900.2.1.02a00080,"I . MenzBers o j fhe Kwakwantd Pathi clans : Rnawita, Nasimoki, Kwaa, Nakala, Vehti, Poyi, Klee, Klee, Paca, Kela, Sakwistiwa, Citaimti, Suiie,",American Anthropologist,THE NEW-FIRE CEREMONY AT WALPI,NAKALA
10.1111/j.1440-1819.1955.tb00730.x,"University School of Medicine, Niigata, Japan. (Director: Prof. Dr. Mizuho Nakala)  It has long been held by European and American neuropathologists",Psychiatry and Clinical Neurosciences,CLINICOPATHOLOGIC STUDY OF TEN CASES WITH GLIOBLASTOMA MULTIFORME,NAKALA
10.1007/BF02247698,"befreien, ffihrten zu keinem gewiinschten Ergebnis. Versuehe yon Mizuko Nakala zeigten, dab primer atoxische Bouillonkulturfiltrate bei Diphtherie-",Zeitschrift für Kinderheilkunde,Über percutane Immunisierung gegen Diphtherie nach Löwenstein,NAKALA
10.1080/13696815.2012.666867,matekelezo akilini mwa hadhira zao binafsi. Maneno Maalum: mahusiano kati ya nakala; uhamiaji; masomo ya Afrika; kufananisha mbinu za fasihi; masomo,Journal of African Cultural Studies,Living for the city: urban displacement and incarceration in Wright's Native Son and Rajabu's ‘Masudi’,NAKALA
10.1002/pol.1972.150100522,"speculated by Bamford' and AmettTcannot be ruled out.  References 1. T. Nakala, T. Otsu, and M. Imoto, J. Polym. Sn'. A , 3,3383 (1965); Makromol. Chem.,",Journal of Polymer Science Part A-1: Polymer Chemistry,Co(II) acetylacetonate-initiated polymerization of methyl methacrylate,NAKALA
10.1016/S0076-6879(96)70026-5,"30, 31(331, 40(33), 43(33), 45(33), 112 Nakanishi, K., 5(51), 6, 10(51) Nakala, T., 459 Nakatani, S., 36, 75, 76(29b)  Nakaya, K., 5(35), 6.9(35)",Methods in Enzymology,Author index,NAKALA
10.1007/BF01245014,"(ed) Calcitonin 1980. Excerpta Medica, Amsterdam, pp 1-10 Mahrous TS, Nakala AM (1988) Phamacological doses of calcitonin reduce sex hormone",Journal of Neural Transmission,"Dexamethasone suppression of the calcitonin induced ?-endorphin, ACTH and cortisol secretion",NAKALA
10.1016/S0140-6736(95)90895-1,"colonoscopy and multiple biopsies. Endoscopy 1985; 17: 86-88. 4 Ruane PJ, Nakala MM, Reinhart JF, George WL. Spirochete-like organisms in the",The Lancet,Genetic abnormalities during transition from Helicobacter-pylori-associated gastritis to low-grade MALToma,NAKALA
10.1111/j.1365-2621.1970.tb00958.x,"TOSHIYUKI FUKAZAWA. HIROYASU NAKAla, SHIRO OHKI and TSUTOMU YASUI Department of Animal Science, Faculty",Journal of Food Science,SOME PROPERTIES OF MYOFIBRILLAR PROTEINS OBTAINED FROM LOW IONIC STRENGTH EXTRACTS OF WASHED MYOFIBRILS FROM PRE- AND POST-RIGOR CHICKEN PECTORAL MUSCLE,NAKALA
10.1016/j.beproc.2019.103912,(DW)  M  Kelele (KEL)*  M  Ulindi (UL)  F  Lingala (LNG)  F  Lucy (LY)  F  Nakala (NK)*  F  Loto (LO)  M  Moko (MO)  M  Khalessi (KLS)  F  1996,Behavioural Processes,Social learning of arbitrary food preferences in bonobos,NAKALA
10.1525/aa.2006.108.1.148,Kikmongwi of First Mesa—a position of ritual and political leadership—Harlan Nakala sends offerings through shrines to each cardinal direction for,American Anthropologist,Memory Pieces and Footprints: Multivocality and the Meanings of Ancient Times and Ancestral Places among the Zuni and Hopi,NAKALA
10.1002/j.1834-4461.1937.tb00413.x,"following suffixes for the perfect-"":  Perfect indef.  kala  "" def.  la nakala  "" Remotum i indef. tjita  "" "" i def. la nitjita  "" "" ii indef.",Oceania,THE NATURE OF AUSTRALIAN LANGUAGES,NAKALA
10.1111/j.1540-8159.1999.tb06804.x,"Mi-i<ivt:nirii'uliir IHiiLk (luring Sinu.s Rh.vthm Takashi Tnkanti ', Yasuro Nakala', Massyiiki Yasiitia '. MastilafcH Suniiyoshi "", Ytiji Naka^alo-.",Pacing and Clinical Electrophysiology,Abstracts,NAKALA
10.1080/10948000902847528,Sterling) 40:267 Communicating Disasters: An Asia-Pacific Resource Book edited by Nakala Gunawardene and Frederick Noronha (Bangkok: United Nations Development,Communication Booknotes Quarterly,6. FOREIGN/INTERNATIONAL,NAKALA
